element,a1,b1,a2,b2,a3,b3,a4,b4,c
Hg,20.68,0.55,19.04,8.45,21.66,1.57,5.97,38.32,12.61
Hg1+,25.09,1.40,18.50,7.65,16.89,0.44,6.48,28.23,12.02
Hg2+,29.56,1.21,18.06,7.06,12.84,0.28,6.90,20.75,10.63
Tl,27.54,0.66,19.16,8.71,15.54,1.96,5.53,45.81,13.17
Tl1+,21.40,1.47,20.47,0.52,18.75,7.43,6.83,28.85,12.53
Tl3+,30.87,1.10,18.35,6.54,11.93,0.22,7.01,17.21,9.80
Pb,31.06,0.69,13.06,2.36,18.44,8.62,5.97,47.26,13.41
Pb2+,21.79,1.34,19.57,0.49,19.14,6.77,7.01,23.81,12.47
Pb4+,32.12,1.01,18.80,6.11,12.02,0.15,6.97,14.71,8.08
Bi,33.37,0.70,12.95,2.92,16.59,8.79,6.47,48.01,13.58
Bi3+,21.81,1.24,19.50,6.24,19.11,0.47,7.10,20.32,12.47
Bi5+,33.54,0.92,25.09,0.39,19.25,5.71,6.92,12.83,-6.80
Po,34.67,0.70,15.47,3.55,13.11,9.56,7.03,47.00,13.68
At,35.32,0.69,19.02,3.97,9.50,11.38,7.43,45.47,13.71
Rn,35.56,0.66,21.28,4.07,8.00,14.04,7.44,44.25,13.69
Fr,35.93,0.65,23.05,4.18,12.14,23.11,2.11,150.65,13.72
Ra,35.76,0.62,22.91,3.87,12.47,19.99,3.21,142.33,13.62
Ra2+,35.22,0.60,21.67,3.58,7.91,12.60,7.65,29.84,13.54
Ac,35.66,0.59,23.10,3.65,12.60,18.60,4.09,117.02,13.53
Ac3+,35.17,0.58,22.11,3.41,8.19,12.92,7.06,25.94,13.46
Th,35.56,0.56,23.42,3.46,12.75,17.83,4.81,99.17,13.43
Th4+,35.10,0.56,22.44,3.24,9.79,13.47,5.29,23.95,13.38
Pa,35.88,0.55,23.29,3.42,14.19,16.92,4.17,105.25,13.43
U,36.02,0.53,23.41,3.33,14.95,16.09,4.19,100.61,13.40
U3+,35.57,0.52,22.53,3.12,12.22,12.71,5.37,26.34,13.31
U4+,35.37,0.52,22.53,3.05,12.03,12.57,4.80,23.46,13.27
U6+,34.85,0.51,22.76,2.89,14.01,13.18,1.21,25.20,13.17
Np,36.19,0.51,23.60,3.25,15.64,15.36,4.19,97.49,13.36
Np3+,35.71,0.50,22.61,3.04,12.99,12.14,5.43,25.49,13.25
Np4+,35.51,0.50,22.58,2.97,12.78,11.95,4.92,22.75,13.21
Np6+,35.01,0.49,22.73,2.81,14.39,12.33,1.76,22.66,13.11
Pu,36.53,0.50,23.81,3.26,16.77,14.95,3.48,105.98,13.38
Pu3+,35.84,0.48,22.72,2.96,13.58,11.53,5.66,24.40,13.20
Pu4+,35.65,0.48,22.65,2.89,13.36,11.32,5.19,21.83,13.16
Pu6+,35.17,0.47,22.72,2.74,14.76,11.55,2.29,20.93,13.06
Am,36.67,0.48,24.10,3.21,17.34,14.31,3.49,102.27,13.36
Cm,36.65,0.47,24.41,3.09,17.40,13.43,4.22,88.48,13.29
Bk,36.79,0.45,24.77,3.05,17.89,12.89,4.23,86.00,13.28
Cf,36.92,0.44,25.20,3.01,18.33,12.40,4.24,83.79,13.27
